iter	Logloss
0	0.6792045097
1	0.6663390851
2	0.6545313576
3	0.64361912
4	0.6328171356
5	0.6214231684
6	0.6125438134
7	0.602730453
8	0.5942672969
9	0.5853557929
10	0.5774418338
11	0.5698939807
12	0.5621583335
13	0.5555359881
14	0.5493112829
15	0.5425915576
16	0.5371476983
17	0.5316512755
18	0.5271198318
19	0.5220321419
20	0.51701639
21	0.5128370317
22	0.5084162552
23	0.5041268501
24	0.5001394651
25	0.4963715958
26	0.4925648815
27	0.4890216897
28	0.4860016163
29	0.4830400959
30	0.4798310968
31	0.4772519284
32	0.4742159399
33	0.471971025
34	0.4688866322
35	0.4667572406
36	0.4645953305
37	0.4621127942
38	0.4601347617
39	0.4581422934
40	0.4563329887
41	0.4543280916
42	0.4524547441
43	0.4507501968
44	0.4492078211
45	0.4476605032
46	0.4462669319
47	0.4447111214
48	0.4433595269
49	0.4420002666
50	0.4407042899
51	0.4393677896
52	0.4380286247
53	0.4367517302
54	0.4357080248
55	0.4346822276
56	0.4334839231
57	0.4325982608
58	0.4317259017
59	0.4307607893
60	0.4298113173
61	0.4288702387
62	0.427991774
63	0.4272723264
64	0.4263445727
65	0.4255318421
66	0.4248702838
67	0.4240080266
68	0.4232203185
69	0.422418354
70	0.4218760086
71	0.4211966809
72	0.4205171884
73	0.4198271609
74	0.4189651616
75	0.4180702454
76	0.4175108306
77	0.4169390194
78	0.4164477789
79	0.415748581
80	0.4151293193
81	0.4146018456
82	0.4140956087
83	0.413604803
84	0.4131284673
85	0.4125195756
86	0.4120900937
87	0.4116445607
88	0.4111453579
89	0.4106858723
90	0.4103709659
91	0.4098266729
92	0.4093726674
93	0.4088226884
94	0.4083861546
95	0.4080492284
96	0.4075166355
97	0.4069969947
98	0.4066229013
99	0.4062376244
100	0.4057954808
101	0.4054860437
102	0.4050447077
103	0.4046758083
104	0.4043409812
105	0.4040699187
106	0.403662405
107	0.4034040078
108	0.4030657859
109	0.4027835059
110	0.4023677522
111	0.4020310818
112	0.401702401
113	0.4013942992
114	0.401161593
115	0.4007962628
116	0.4004307431
117	0.4001544276
118	0.3997587977
119	0.3994848904
120	0.3992162386
121	0.3989480129
122	0.3986940474
123	0.3986419322
124	0.3984956279
125	0.3982315633
126	0.3979334465
127	0.3977457004
128	0.3975535674
129	0.397285228
130	0.3970045626
131	0.3967030807
132	0.3964476565
133	0.3962323518
134	0.3959700104
135	0.3956785371
136	0.3954060421
137	0.395171908
138	0.3950375332
139	0.3946280958
140	0.3944520627
141	0.3942084613
142	0.3940011719
143	0.3937907578
144	0.3935352867
145	0.3933730614
146	0.3932283753
147	0.3930663328
148	0.392776891
149	0.3925502756
150	0.3925200538
151	0.3922772475
152	0.3921052561
153	0.3919056716
154	0.3917148411
155	0.3914492444
156	0.3913220626
157	0.3911998665
158	0.3910532738
159	0.3908881252
160	0.3906968347
161	0.3905505539
162	0.3903783484
163	0.390142443
164	0.3898919028
165	0.3896424814
166	0.389509217
167	0.3893384945
168	0.3890827074
169	0.3888886843
170	0.3886477277
171	0.3884579018
172	0.3881961371
173	0.3880975263
174	0.3879269479
175	0.3878134717
176	0.3876544752
177	0.387399821
178	0.38718179
179	0.3870123421
180	0.3867966413
181	0.3866249072
182	0.3864422665
183	0.3862606639
184	0.3860898847
185	0.3859307318
186	0.385781038
187	0.3855310239
188	0.3853089687
189	0.3851839712
190	0.3849402462
191	0.3847279891
192	0.3845157461
193	0.3843771578
194	0.3842450101
195	0.3840898762
196	0.3839197957
197	0.3837512576
198	0.3836006628
199	0.3833980024
200	0.3832201663
201	0.3829686476
202	0.3827923621
203	0.3826082547
204	0.3823939882
205	0.3821827597
206	0.3820971824
207	0.3819446316
208	0.3817116122
209	0.3815165382
210	0.3813326695
211	0.3812045438
212	0.3810906792
213	0.3809629629
214	0.3807433404
215	0.3805755806
216	0.3803617479
217	0.3802935261
218	0.3801237793
219	0.3798938934
220	0.3796713754
221	0.379443595
222	0.379280885
223	0.3791933115
224	0.3790771854
