iter	Passed	Remaining
0	58	58908
1	60	30204
2	62	20635
3	63	15826
4	64	12922
5	66	10987
6	67	9529
7	68	8503
8	69	7705
9	71	7065
10	72	6534
11	74	6096
12	75	5723
13	76	5403
14	78	5124
15	79	4878
16	80	4661
17	81	4470
18	82	4280
19	84	4128
20	85	3992
21	86	3865
22	88	3759
23	89	3658
24	91	3560
25	92	3473
26	94	3389
27	95	3311
28	96	3239
29	98	3173
30	99	3108
31	100	3047
32	102	2992
33	103	2943
34	105	2899
35	106	2850
36	107	2804
37	109	2760
38	110	2723
39	112	2698
40	113	2660
41	115	2626
42	116	2596
43	117	2563
44	119	2532
45	120	2502
46	121	2471
47	123	2442
48	124	2420
49	126	2395
50	127	2371
51	128	2348
52	130	2325
53	131	2302
54	132	2280
55	134	2260
56	135	2240
57	136	2221
58	138	2204
59	139	2188
60	141	2174
61	142	2157
62	143	2140
63	145	2122
64	146	2109
65	148	2094
66	149	2080
67	150	2066
68	152	2052
69	153	2037
70	154	2023
71	155	2010
72	157	1996
73	158	1984
74	159	1971
75	161	1959
76	162	1946
77	163	1936
78	165	1924
79	166	1914
80	167	1903
81	169	1892
82	170	1882
83	171	1873
84	173	1863
85	174	1853
86	175	1844
87	177	1836
88	178	1829
89	180	1820
90	181	1811
91	182	1802
92	183	1793
93	185	1787
94	186	1779
95	188	1771
96	189	1763
97	190	1756
98	192	1755
99	194	1747
100	195	1740
101	196	1732
102	198	1728
103	199	1723
104	201	1716
105	202	1710
106	204	1703
107	205	1697
108	206	1690
109	208	1684
110	209	1677
111	210	1670
112	212	1665
113	213	1659
114	214	1653
115	216	1646
116	217	1640
117	219	1637
118	220	1631
119	221	1625
120	222	1619
121	224	1614
122	225	1609
123	226	1600
124	227	1594
125	229	1589
126	231	1588
127	232	1583
128	233	1578
129	234	1572
130	236	1567
131	237	1562
132	239	1558
133	240	1552
134	241	1547
135	242	1542
136	244	1537
137	246	1537
138	247	1530
139	248	1525
140	249	1521
141	250	1516
142	252	1512
143	253	1507
144	254	1502
145	256	1497
146	257	1493
147	258	1488
148	259	1484
149	261	1480
150	261	1472
151	263	1468
152	264	1464
153	265	1460
154	267	1456
155	268	1452
156	269	1447
157	271	1444
158	272	1440
159	273	1436
160	274	1432
161	276	1428
162	277	1425
163	278	1421
164	280	1417
165	281	1414
166	282	1410
167	284	1407
168	285	1404
169	287	1401
170	288	1398
171	289	1395
172	291	1391
173	292	1388
174	293	1384
175	295	1384
176	296	1380
177	298	1377
178	299	1374
179	300	1370
180	302	1367
181	303	1365
182	305	1361
183	306	1358
184	307	1355
185	309	1352
186	310	1349
187	311	1346
188	312	1343
189	314	1340
190	315	1337
191	317	1334
192	318	1331
193	319	1328
194	321	1325
195	322	1322
196	323	1319
197	325	1316
198	326	1315
199	328	1312
200	329	1309
201	330	1306
202	331	1303
203	333	1300
204	334	1297
205	335	1294
206	337	1291
207	338	1288
208	339	1285
209	340	1282
210	342	1279
211	343	1277
212	345	1275
213	346	1272
214	347	1269
215	349	1266
216	350	1264
217	351	1261
218	352	1258
219	354	1256
220	355	1253
221	356	1250
222	358	1247
223	359	1245
224	360	1242
225	362	1241
226	363	1237
227	364	1234
228	365	1231
229	367	1229
230	368	1226
231	369	1224
232	371	1221
233	372	1219
234	373	1216
235	375	1214
236	376	1211
237	377	1209
238	378	1206
239	380	1204
240	381	1201
241	382	1199
242	384	1197
243	385	1195
244	387	1192
245	388	1190
246	389	1188
247	391	1185
248	392	1183
249	393	1180
250	394	1178
251	396	1176
252	397	1174
253	398	1171
254	400	1169
255	401	1167
256	403	1165
257	404	1162
258	405	1160
259	407	1158
260	408	1156
261	409	1153
262	411	1151
263	412	1149
264	414	1149
265	415	1146
266	416	1144
267	418	1142
268	419	1139
269	420	1137
270	422	1135
271	423	1133
272	424	1131
273	426	1129
274	427	1127
275	428	1124
276	430	1122
277	431	1120
278	432	1118
279	434	1116
280	435	1114
281	436	1112
282	438	1110
283	439	1108
284	441	1106
285	442	1104
286	443	1102
287	445	1100
288	446	1098
289	447	1096
290	449	1094
291	450	1092
292	451	1089
293	452	1087
294	454	1085
295	455	1083
296	456	1081
297	458	1079
298	460	1079
299	461	1077
300	463	1075
301	464	1073
302	466	1072
303	467	1069
304	468	1067
305	469	1065
306	471	1063
307	472	1061
308	473	1059
309	475	1057
310	476	1055
311	477	1053
312	479	1051
313	480	1049
314	481	1047
315	483	1045
316	484	1044
317	485	1042
318	487	1040
319	488	1038
320	489	1036
321	491	1034
322	492	1032
323	493	1030
324	495	1028
325	496	1026
326	497	1024
327	498	1022
328	500	1020
329	501	1018
330	502	1016
331	504	1014
332	505	1011
333	506	1009
334	507	1008
335	509	1006
336	510	1004
337	511	1002
338	513	1000
339	514	999
340	516	997
341	517	995
342	518	993
343	520	991
344	521	989
345	522	987
346	523	985
347	525	983
348	526	982
349	528	981
350	529	979
351	531	977
352	532	975
353	533	974
354	535	973
355	537	971
356	538	969
357	539	968
358	541	966
359	542	964
360	543	962
361	545	960
362	546	958
